Id,name,value,colour
0,CAPTAIN TYPHO,4,#808080
1,EMPEROR,6,#191970
2,SENATOR ASK AAK,3,#808080
3,ORN FREE TAA,3,#808080
4,MACE WINDU,12,#808080
5,YODA,12,#9ACD32
6,KI-ADI-MUNDI,3,#808080
7,BAIL ORGANA,3,#808080
8,JAR JAR,6,#9a9a00
9,OBI-WAN,33,#48D1CC
10,ANAKIN,39,#ce3b59
11,PADME,23,#DDA0DD
12,PK-4,2,#808080
13,SIO BIBBLE,2,#808080
14,SOLA,3,#808080
15,JOBAL,3,#808080
16,RUWEE,4,#808080
17,TAUN WE,7,#808080
18,LAMA SU,8,#808080
19,BOBA FETT,6,#808080
20,JANGO FETT,5,#808080
21,WATTO,2,#808080
22,C-3PO,9,#FFD700
23,OWEN,5,#808080
24,BERU,2,#808080
25,CLIEGG,3,#808080
26,SHMI,2,#808080
27,COUNT DOOKU,8,#808080
28,SUN RIT,3,#808080
29,POGGLE,3,#808080
30,NUTE GUNRAY,3,#808080
31,PLO KOON,2,#808080
