Id,name,value,colour
0,R2-D2,33,#bde0f6
1,QUI-GON,61,#4f4fb1
2,NUTE GUNRAY,19,#808080
3,PK-4,3,#808080
4,TC-14,5,#808080
5,OBI-WAN,34,#48D1CC
6,DOFINE,4,#808080
7,RUNE,11,#808080
8,TEY HOW,5,#808080
9,EMPEROR,14,#191970
10,CAPTAIN PANAKA,20,#808080
11,SIO BIBBLE,8,#808080
12,JAR JAR,36,#9a9a00
13,TARPALS,4,#808080
14,BOSS NASS,5,#808080
15,PADME,31,#DDA0DD
16,RIC OLIE,12,#808080
17,WATTO,8,#808080
18,ANAKIN,41,#ce3b59
19,SEBULBA,4,#808080
20,JIRA,4,#808080
21,SHMI,11,#808080
22,C-3PO,6,#FFD700
23,DARTH MAUL,6,#808080
24,KITSTER,5,#808080
25,WALD,4,#808080
26,FODE/BEED,12,#808080
27,JABBA,4,#808080
28,GREEDO,3,#808080
29,VALORUM,4,#808080
30,MACE WINDU,6,#808080
31,KI-ADI-MUNDI,5,#808080
32,YODA,7,#9ACD32
33,RABE,3,#808080
34,BAIL ORGANA,3,#808080
35,GENERAL CEEL,5,#808080
36,BRAVO TWO,6,#808080
37,BRAVO THREE,4,#808080
