Id,name,value,colour
0,EMPEROR,62,#191970
1,COUNT DOOKU,14,#808080
2,OBI-WAN,108,#48D1CC
3,R2-D2,40,#bde0f6
4,ANAKIN,105,#ce3b59
5,GENERAL GRIEVOUS,35,#808080
6,RED LEADER,3,#808080
7,ODD BALL,4,#808080
8,C-3PO,20,#FFD700
9,BAIL ORGANA,28,#808080
10,MACE WINDU,10,#808080
11,JAR JAR,4,#9a9a00
12,PADME,40,#DDA0DD
13,YODA,35,#9ACD32
14,MON MOTHMA,3,#808080
15,FANG ZAR,4,#808080
16,GIDDEAN DANU,3,#808080
17,KI-ADI-MUNDI,5,#808080
18,PLO KOON,5,#808080
19,CAPTAIN TYPHO,5,#808080
20,CLONE COMMANDER GREE,4,#808080
21,CLONE COMMANDER CODY,4,#808080
22,TION MEDON,3,#808080
23,NUTE GUNRAY,7,#808080
24,RUNE,4,#808080
25,POGGLE,3,#808080
26,DARTH VADER,13,#000000
27,CHEWBACCA,4,#A0522D
28,CAPTAIN ANTILLES,3,#808080
29,QUI-GON,3,#4f4fb1
30,LUKE,2,#3881e5
31,LEIA,2,#DCDCDC
32,SIO BIBBLE,2,#808080
33,TARKIN,2,#808080
34,BERU,2,#808080
35,OWEN,2,#808080
