source,target,value
0,1,12
0,2,1
0,3,14
0,4,18
0,5,1
0,6,2
0,7,11
0,8,21
0,9,1
0,10,10
0,11,7
0,12,2
0,13,15
0,16,4
0,17,3
0,19,4
0,21,1
0,22,7
1,2,1
1,3,40
1,4,48
1,5,2
1,6,4
1,7,35
1,8,9
1,10,2
1,11,3
1,12,2
1,13,6
1,19,1
1,21,6
1,22,21
3,4,47
3,22,25
3,6,2
3,7,40
3,8,14
3,9,1
3,5,1
3,13,3
3,21,3
4,5,2
4,6,6
4,7,41
4,8,14
4,9,2
4,10,2
4,11,2
4,13,5
4,19,1
4,21,4
4,22,27
5,21,1
5,6,1
5,22,2
5,13,1
6,7,2
6,8,1
7,22,15
7,8,19
7,9,1
7,13,2
7,21,3
8,9,1
8,10,3
8,11,6
8,13,2
8,17,1
8,19,1
8,21,2
8,22,5
10,19,4
10,11,4
10,13,5
11,19,1
11,13,2
13,14,8
13,15,2
13,19,6
13,20,4
13,21,5
13,22,7
14,21,1
14,19,1
14,20,2
14,15,2
17,18,3
19,20,1
19,22,1
21,22,6
