Id,name,value,colour
0,LOR SAN TEKKA,4,#808080
1,POE,30,#a15bea
2,KYLO REN,22,#000000
3,CAPTAIN PHASMA,6,#808080
4,FINN,63,#07b19f
5,UNKAR PLUTT,5,#808080
6,REY,56,#ffe0af
7,GENERAL HUX,14,#808080
8,LIEUTENANT MITAKA,3,#808080
9,HAN,46,#ff9400
10,BALA-TIK,4,#808080
11,SNOKE,4,#191970
12,MAZ,6,#808080
13,BB-8,2,#eb5d00
14,C-3PO,8,#FFD700
15,LEIA,10,#DCDCDC
16,SNAP,5,#808080
17,ADMIRAL ACKBAR,4,#808080
18,ADMIRAL STATURA,3,#808080
19,YOLO ZIFF,3,#808080
20,COLONEL DATOO,3,#808080
21,ELLO ASTY,4,#808080
22,JESS,4,#808080
23,NIV LEK,3,#808080
