Id,name,value,colour
0,LUKE,2,#3881e5
1,R2-D2,5,#bde0f6
2,CHEWBACCA,43,#A0522D
3,BB-8,40,#eb5d00
4,LOR SAN TEKKA,5,#808080
5,POE,31,#a15bea
6,KYLO REN,23,#000000
7,CAPTAIN PHASMA,7,#808080
8,FINN,64,#07b19f
9,UNKAR PLUTT,6,#808080
10,REY,57,#ffe0af
11,GENERAL HUX,15,#808080
12,LIEUTENANT MITAKA,4,#808080
13,HAN,47,#ff9400
14,BALA-TIK,5,#808080
15,SNOKE,5,#191970
16,MAZ,7,#808080
17,C-3PO,9,#FFD700
18,LEIA,11,#DCDCDC
19,SNAP,6,#808080
20,ADMIRAL ACKBAR,5,#808080
21,ADMIRAL STATURA,4,#808080
22,YOLO ZIFF,4,#808080
23,COLONEL DATOO,4,#808080
24,ELLO ASTY,5,#808080
25,JESS,5,#808080
26,NIV LEK,4,#808080
