Id,name,value,colour
0,LUKE,57,#3881e5
1,HAN,46,#ff9400
2,JABBA,21,#808080
3,DARTH VADER,24,#000000
4,EMPEROR,20,#191970
5,JERJERROD,4,#808080
6,SNAP,3,#808080
7,C-3PO,37,#FFD700
8,R2-D2,31,#bde0f6
9,CHEWBACCA,39,#A0522D
10,LANDO,31,#808080
11,BIB FORTUNA,7,#808080
12,BOBA FETT,5,#808080
13,BOUSHH,3,#808080
14,LEIA,38,#DCDCDC
15,OBI-WAN,8,#48D1CC
16,YODA,5,#9ACD32
17,ANAKIN,6,#ce3b59
18,OWEN,2,#808080
19,ADMIRAL ACKBAR,11,#808080
20,WEDGE,8,#808080
21,MON MOTHMA,2,#808080
22,PIETT,4,#808080
23,RED LEADER,3,#808080
24,GOLD LEADER,6,#808080
