Id,name,value,colour
0,R2-D2,15,#bde0f6
1,CAPTAIN TYPHO,5,#808080
2,EMPEROR,7,#191970
3,SENATOR ASK AAK,4,#808080
4,ORN FREE TAA,4,#808080
5,MACE WINDU,13,#808080
6,YODA,13,#9ACD32
7,KI-ADI-MUNDI,4,#808080
8,BAIL ORGANA,4,#808080
9,JAR JAR,7,#9a9a00
10,OBI-WAN,34,#48D1CC
11,ANAKIN,40,#ce3b59
12,PADME,24,#DDA0DD
13,PK-4,3,#808080
14,SIO BIBBLE,3,#808080
15,SOLA,4,#808080
16,JOBAL,4,#808080
17,RUWEE,5,#808080
18,TAUN WE,8,#808080
19,LAMA SU,9,#808080
20,BOBA FETT,7,#808080
21,JANGO FETT,6,#808080
22,WATTO,3,#808080
23,C-3PO,10,#FFD700
24,OWEN,6,#808080
25,BERU,3,#808080
26,CLIEGG,4,#808080
27,SHMI,3,#808080
28,COUNT DOOKU,9,#808080
29,SUN RIT,4,#808080
30,POGGLE,4,#808080
31,NUTE GUNRAY,4,#808080
32,PLO KOON,3,#808080
