Id,name,value,colour
0,LUKE,17,#3881e5
1,LEIA,18,#DCDCDC
2,BB-8,59,#eb5d00
3,POE,46,#a15bea
4,LOR SAN TEKKA,6,#808080
5,KYLO REN,32,#000000
6,CAPTAIN PHASMA,6,#808080
7,FINN,91,#07b19f
8,REY,103,#ffe0af
9,UNKAR PLUTT,9,#808080
10,GENERAL HUX,16,#808080
11,LIEUTENANT MITAKA,3,#808080
12,SNOKE,10,#191970
13,CHEWBACCA,56,#A0522D
14,HAN,60,#ff9400
15,BALA-TIK,4,#808080
16,MAZ,9,#808080
17,DARTH VADER,4,#000000
18,R2-D2,6,#bde0f6
19,SNAP,8,#808080
20,JESS,6,#808080
21,C-3PO,11,#FFD700
22,ADMIRAL ACKBAR,5,#808080
23,ADMIRAL STATURA,3,#808080
24,YOLO ZIFF,3,#808080
25,COLONEL DATOO,3,#808080
26,ELLO ASTY,4,#808080
27,NIV LEK,3,#808080
