Id,name,value,colour
0,ANAKIN,53,#ce3b59
1,OBI-WAN,59,#48D1CC
2,ODD BALL,4,#808080
3,GENERAL GRIEVOUS,12,#808080
4,EMPEROR,24,#191970
5,COUNT DOOKU,2,#808080
6,BAIL ORGANA,20,#808080
7,C-3PO,15,#FFD700
8,PADME,23,#DDA0DD
9,YODA,23,#9ACD32
10,FANG ZAR,3,#808080
11,MON MOTHMA,3,#808080
12,GIDDEAN DANU,2,#808080
13,MACE WINDU,7,#808080
14,CAPTAIN TYPHO,3,#808080
15,CLONE COMMANDER GREE,4,#808080
16,CLONE COMMANDER CODY,4,#808080
17,JAR JAR,2,#9a9a00
18,TION MEDON,3,#808080
19,NUTE GUNRAY,5,#808080
20,PLO KOON,2,#808080
21,CAPTAIN ANTILLES,3,#808080
22,DARTH VADER,4,#000000
23,QUI-GON,2,#4f4fb1
