Id,name,value,colour
0,LEIA,55,#DCDCDC
1,C-3PO,62,#FFD700
2,R2-D2,58,#bde0f6
3,LUKE,183,#3881e5
4,DARTH VADER,67,#000000
5,EMPEROR,4,#191970
6,YOUNG GIRL,4,#808080
7,BIGGS,34,#808080
8,CAMIE,3,#808080
9,SNAP,3,#808080
10,OWEN,10,#808080
11,BERU,6,#808080
12,OBI-WAN,45,#48D1CC
13,CAPTAIN ANTILLES,2,#808080
14,TARKIN,16,#808080
15,MOTTI,3,#808080
16,CHEWBACCA,42,#A0522D
17,HAN,62,#ff9400
18,JABBA,3,#808080
19,GREEDO,3,#808080
20,WEDGE,27,#808080
21,GOLD LEADER,20,#808080
22,DODONNA,10,#808080
23,RED LEADER,47,#808080
24,RED TEN,12,#808080
25,GOLD FIVE,12,#808080
