"Time","Region Code","Region","Number of dwellings【number of dwelling units】","Annotation"
"1988","39000","Kochi-ken","323500",""
"1988","40000","Fukuoka-ken","1683500",""
"1988","41000","Saga-ken","255800",""
"1988","42000","Nagasaki-ken","533000",""
"1988","43000","Kumamoto-ken","601200",""
"1988","44000","Oita-ken","430000",""
"1988","45000","Miyazaki-ken","412200",""
"1988","46000","Kagoshima-ken","718500",""
"1988","47000","Okinawa-ken","388700",""
"1993","01000","Hokkaido","2258800",""
"1993","02000","Aomori-ken","499300",""
"1993","03000","Iwate-ken","463400",""
"1993","04000","Miyagi-ken","791000",""
"1993","05000","Akita-ken","383400",""
"1993","06000","Yamagata-ken","360700",""
"1993","07000","Fukushima-ken","668100",""
"1993","08000","Ibaraki-ken","949300",""
"1993","09000","Tochigi-ken","657400",""
"1993","10000","Gumma-ken","688900",""
"1993","11000","Saitama-ken","2333000",""
"1993","12000","Chiba-ken","2048600",""
"1993","13000","Tokyo-to","5299500",""
"1993","14000","Kanagawa-ken","3073600",""
"1993","15000","Niigata-ken","777300",""
"1993","16000","Toyama-ken","349300",""
"1993","17000","Ishikawa-ken","400900",""
"1993","18000","Fukui-ken","250900",""
"1993","19000","Yamanashi-ken","313700",""
"1993","20000","Nagano-ken","749900",""
"1993","21000","Gifu-ken","671900",""
"1993","22000","Shizuoka-ken","1248000",""
"1993","23000","Aichi-ken","2414300",""
"1993","24000","Mie-ken","610300",""
"1993","25000","Shiga-ken","391900",""
"1993","26000","Kyoto-fu","1023000",""
"1993","27000","Osaka-fu","3497600",""
"1993","28000","Hyogo-ken","2019300",""
"1993","29000","Nara-ken","473100",""
"1993","30000","Wakayama-ken","400700",""
"1993","31000","Tottori-ken","201200",""
"1993","32000","Shimane-ken","254300",""
"1993","33000","Okayama-ken","692500",""
"1993","34000","Hiroshima-ken","1105600",""
"1993","35000","Yamaguchi-ken","593100",""
"1993","36000","Tokushima-ken","304100",""
"1993","37000","Kagawa-ken","364500",""
"1993","38000","Ehime-ken","592000",""
"1993","39000","Kochi-ken","337500",""
"1993","40000","Fukuoka-ken","1838600",""
"1993","41000","Saga-ken","269900",""
"1993","42000","Nagasaki-ken","544600",""
"1993","43000","Kumamoto-ken","641300",""
"1993","44000","Oita-ken","457900",""
"1993","45000","Miyazaki-ken","438600",""
"1993","46000","Kagoshima-ken","747500",""
"1993","47000","Okinawa-ken","428300",""
"1998","01000","Hokkaido","2433300",""
"1998","02000","Aomori-ken","534300",""
"1998","03000","Iwate-ken","502800",""
"1998","04000","Miyagi-ken","886100",""
"1998","05000","Akita-ken","413300",""
"1998","06000","Yamagata-ken","394200",""
"1998","07000","Fukushima-ken","728200",""
"1998","08000","Ibaraki-ken","1064800",""
"1998","09000","Tochigi-ken","725400",""
"1998","10000","Gumma-ken","756000",""
"1998","11000","Saitama-ken","2595800",""
"1998","12000","Chiba-ken","2321100",""
"1998","13000","Tokyo-to","5669500",""
"1998","14000","Kanagawa-ken","3409100",""
"1998","15000","Niigata-ken","843500",""
"1998","16000","Toyama-ken","379100",""
"1998","17000","Ishikawa-ken","441000",""
"1998","18000","Fukui-ken","274800",""
"1998","19000","Yamanashi-ken","353800",""
"1998","20000","Nagano-ken","850400",""
"1998","21000","Gifu-ken","741100",""
"1998","22000","Shizuoka-ken","1388100",""
"1998","23000","Aichi-ken","2681000",""
"1998","24000","Mie-ken","687000",""
"1998","25000","Shiga-ken","458700",""
"1998","26000","Kyoto-fu","1110900",""
"1998","27000","Osaka-fu","3852500",""
"1998","28000","Hyogo-ken","2214300",""
"1998","29000","Nara-ken","525800",""
"1998","30000","Wakayama-ken","431200",""
"1998","31000","Tottori-ken","214800",""
"1998","32000","Shimane-ken","277400",""
"1998","33000","Okayama-ken","759000",""
"1998","34000","Hiroshima-ken","1198300",""
"1998","35000","Yamaguchi-ken","633100",""
"1998","36000","Tokushima-ken","319500",""
