century;region;total_count;female_count;latitude;longitude
3rd BC;Egypt, Western desert, Oasis Magna;15;0;25.442859;30.558298
2nd AD;Egypt, Western desert, Oasis Magna;167;18;25.442859;30.558298
4th BC;Egypt, Western desert, Oasis Magna;18;2;25.442859;30.558298
5th AD;Egypt, Western desert, Oasis Magna;1825;58;25.442859;30.558298
4th AD;Egypt, Western desert, Oasis Magna;4080;291;25.442859;30.558298
1st BC;Egypt, Western desert, Oasis Magna;53;0;25.442859;30.558298
3rd AD;Egypt, Western desert, Oasis Magna;544;44;25.442859;30.558298
1st AD;Egypt, Western desert, Oasis Magna;71;5;25.442859;30.558298
3rd AD;Egypt, Western desert, Oasis Parva;5;2;28.386613;28.910334
4th AD;Egypt, Western desert, Oasis Parva;100;8;28.386613;28.910334
1st AD;Egypt, Western desert, Oasis Parva;13;2;28.386613;28.910334
3rd AD;Egypt, Western desert, Oasis Parva;18;3;28.386613;28.910334
1st BC;Egypt, Western desert, Oasis Parva;2;0;28.386613;28.910334
2nd BC;Egypt, Western desert, Oasis Parva;2096;25;28.386613;28.910334
2nd AD;Egypt, Western desert, Oasis Parva;25;5;28.386613;28.910334
4th BC;Egypt, Western desert, Oasis Parva;3;1;28.386613;28.910334
5th AD;Egypt, Western desert, Oasis Parva;86;2;28.386613;28.910334
6th AD;Egypt;1005;80;;
1st AD;Egypt;1280;148;;
4th AD;Egypt;1822;153;;
3rd AD;Egypt;2630;353;;
2nd AD;Egypt;3679;444;;
1st BC;Egypt;587;35;;
5th AD;Egypt;693;33;;
4th BC;Egypt;84;25;;
2nd BC;Egypt;921;95;;
3rd BC;Egypt;922;98;;
5th AD;Lower Egypt [L];1;0;;
3rd AD;Lower Egypt [L];100;4;;
4th BC;Lower Egypt [L];13;2;;
1st BC;Lower Egypt [L];2;1;;
2nd BC;Lower Egypt [L];27;2;;
4th AD;Lower Egypt [L];3;1;;
3rd BC;Lower Egypt [L];42;1;;
2nd AD;Lower Egypt [L];96;7;;
2nd AD;Upper Egypt [U];1086;84;;
1st AD;Upper Egypt [U];181;8;;
4th AD;Upper Egypt [U];181;6;;
2nd BC;Upper Egypt [U];210;19;;
3rd AD;Upper Egypt [U];211;21;;
4th BC;Upper Egypt [U];3;0;;
6th AD;Upper Egypt [U];31;3;;
3rd BC;Upper Egypt [U];72;7;;
5th AD;Upper Egypt [U];;;;
1st BC;Upper Egypt [U];96;14;;
