"ID";"Regions";"Periods";"NumberOfMuseums_1";"UpTo2500Visits_2";"Between2500And10000Visits_3";"Between10000And25000Visits_4";"Between25000And50000Visits_5";"Between50000And100000Visits_6";"k_100000AndMoreVisits_7";"TotalVisits_8";"PaidVisits_9";"MuseumCardAndFreeVisits_10";"AverageNumberOfVisitsPerMuseum_11";"ForeignVisits_12";"TotalEmployees_13";"OnPayroll_14";"OtherPaidStaff_15";"TotalFTE_16";"OnPayroll_17";"OtherPaidStaff_18";"NumberOfVolunteers_19";"FTEs_20"
"28";"LD03";"2003JJ00";"     369";"      29";"      32";"      18";"       7";"       6";"       8";"   12632";"    8852";"    3779";"      34";"    3025";"    5483";"    4429";"    1054";"    3888";"    3285";"     603";"    8711";"    1132"
"29";"LD03";"2005JJ00";"     336";"      27";"      32";"      20";"       7";"       7";"       8";"   12268";"    8585";"    3684";"      37";"    3553";"    5277";"    4431";"     846";"    3715";"    3272";"     443";"    8540";"    1231"
"30";"LD03";"2007JJ00";"     337";"      27";"      30";"      21";"       7";"       7";"       8";"   13214";"    9312";"    3903";"      39";"    4027";"    5516";"    4416";"    1100";"    3915";"    3335";"     580";"    9804";"    1430"
"31";"LD03";"2009JJ00";"     351";"      29";"      29";"      17";"       8";"       8";"       9";"   14138";"    8434";"    5704";"      40";"    2958";"    5834";"    4452";"    1382";"    4254";"    3522";"     732";"   10246";"    1470"
"32";"LD04";"1995JJ00";"     129";"      32";"      32";"      19";"       8";"       5";"       3";"    2178";"    1594";"     584";"      17";"       .";"     680";"     460";"     220";"     486";"     327";"     159";"       .";"       ."
"33";"LD04";"1997JJ00";"     151";"      40";"      28";"      19";"       7";"       4";"       2";"    2073";"    1483";"     590";"      14";"       .";"     760";"     504";"     256";"     594";"     391";"     204";"       .";"       ."
"34";"LD04";"1999JJ00";"     136";"      39";"      22";"      24";"       8";"       6";"       2";"    2270";"    1495";"     772";"      17";"     166";"     781";"     567";"     214";"     483";"     364";"     119";"       .";"       ."
"35";"LD04";"2001JJ00";"     118";"      34";"      25";"      23";"       8";"       7";"       3";"    2080";"    1413";"     667";"      18";"     146";"     762";"     504";"     258";"     473";"     328";"     145";"    2371";"     266"
"36";"LD04";"2003JJ00";"     121";"      35";"      33";"      17";"       9";"       6";"       1";"    1648";"    1039";"     609";"      14";"     203";"     796";"     479";"     317";"     563";"     387";"     176";"    2722";"     289"
"37";"LD04";"2005JJ00";"     110";"      31";"      34";"      16";"      12";"       5";"       2";"    1842";"    1148";"     694";"      17";"     294";"     711";"     460";"     251";"     518";"     382";"     136";"    2721";"     383"
