wals code;name;value;description;latitude;longitude;genus;family;area
mme;Mari (Meadow);1;Words derived from Sinitic cha;57;48;Mari;Uralic;Lexicon
msh;Marshallese;2;Words derived from Min Nan Chinese te;7.116666667;171.05;Oceanic;Austronesian;Lexicon
mby;Mbay;1;Words derived from Sinitic cha;8.25;17.5;Bongo-Bagirmi;Central Sudanic;Lexicon
mnt;Mentawai;2;Words derived from Min Nan Chinese te;-1.5;99;Northwest Sumatra-Barrier Islands;Austronesian;Lexicon
hok;Min (Southern);2;Words derived from Min Nan Chinese te;25;118;Chinese;Sino-Tibetan;Lexicon
min;Minangkabau;2;Words derived from Min Nan Chinese te;-1;101;Malayo-Sumbawan;Austronesian;Lexicon
mss;Miwok (Southern Sierra);2;Words derived from Min Nan Chinese te;37.5;-120;Miwok;Penutian;Lexicon
mol;Moldavian;1;Words derived from Sinitic cha;47;29;Romance;Indo-European;Lexicon
moe;Mordvin (Erzya);1;Words derived from Sinitic cha;53;45.5;Mordvin;Uralic;Lexicon
nai;Nanai;1;Words derived from Sinitic cha;49.5;137;Tungusic;Altaic;Lexicon
nep;Nepali;1;Words derived from Sinitic cha;28;85;Indic;Indo-European;Lexicon
new;Newari (Kathmandu);1;Words derived from Sinitic cha;27.66666667;85.5;Himalayish;Sino-Tibetan;Lexicon
nog;Noghay;1;Words derived from Sinitic cha;44;46;Turkic;Altaic;Lexicon
nor;Norwegian;2;Words derived from Min Nan Chinese te;61;8;Germanic;Indo-European;Lexicon
nbd;Nubian (Dongolese);1;Words derived from Sinitic cha;18.25;30.75;Nubian;Eastern Sudanic;Lexicon
nun;Nung (in Vietnam);1;Words derived from Sinitic cha;21.91666667;106.4166667;Kam-Tai;Tai-Kadai;Lexicon
nyl;Nyelâyu;2;Words derived from Min Nan Chinese te;-20.33333333;164.3333333;Oceanic;Austronesian;Lexicon
occ;Occitan;2;Words derived from Min Nan Chinese te;44;2;Romance;Indo-European;Lexicon
ojm;Ojibwe (Minnesota);3;Others;47.66666667;-92.5;Algonquian;Algic;Lexicon
oya;Oriya;1;Words derived from Sinitic cha;21;85;Indic;Indo-European;Lexicon
orh;Oromo (Harar);1;Words derived from Sinitic cha;9;42;Lowland East Cushitic;Afro-Asiatic;Lexicon
owc;Oromo (West-Central);1;Words derived from Sinitic cha;9;37;Lowland East Cushitic;Afro-Asiatic;Lexicon
oss;Ossetic;1;Words derived from Sinitic cha;43;44;Iranian;Indo-European;Lexicon
pak;Pakanha;3;Others;-14.5;142.4166667;Northern Pama-Nyungan;Pama-Nyungan;Lexicon
pan;Panjabi;1;Words derived from Sinitic cha;31;74;Indic;Indo-European;Lexicon
psh;Pashto;1;Words derived from Sinitic cha;33;67;Iranian;Indo-European;Lexicon
psm;Passamaquoddy-Maliseet;3;Others;45;-67;Algonquian;Algic;Lexicon
prs;Persian;1;Words derived from Sinitic cha;32;54;Iranian;Indo-European;Lexicon
poh;Pohnpeian;2;Words derived from Min Nan Chinese te;6.883333333;158.25;Oceanic;Austronesian;Lexicon
pol;Polish;3;Others;52;20;Slavic;Indo-European;Lexicon
por;Portuguese;1;Words derived from Sinitic cha;39;-8;Romance;Indo-European;Lexicon
pro;Provençal;2;Words derived from Min Nan Chinese te;44;6;Romance;Indo-European;Lexicon
qaf;Qafar;1;Words derived from Sinitic cha;12;42;Lowland East Cushitic;Afro-Asiatic;Lexicon
qay;Quechua (Ayacucho);2;Words derived from Min Nan Chinese te;-14;-74;Quechuan;Quechuan;Lexicon
ren;Rendille;3;Others;2;37.5;Lowland East Cushitic;Afro-Asiatic;Lexicon
rbg;Romani (Burgenland);2;Words derived from Min Nan Chinese te;47.5;16.5;Indic;Indo-European;Lexicon
rka;Romani (Kalderash);3;Others;45;21;Indic;Indo-European;Lexicon
rlo;Romani (Lovari);2;Words derived from Min Nan Chinese te;47;21.5;Indic;Indo-European;Lexicon
rse;Romani (Sepecides);1;Words derived from Sinitic cha;38.25;27;Indic;Indo-European;Lexicon
rmc;Romansch;2;Words derived from Min Nan Chinese te;46.66666667;9.166666667;Romance;Indo-European;Lexicon
rus;Russian;1;Words derived from Sinitic cha;56;38;Slavic;Indo-European;Lexicon
sno;Saami (Northern);2;Words derived from Min Nan Chinese te;69;24;Saami;Uralic;Lexicon
san;Sango;1;Words derived from Sinitic cha;5;18;Ubangi;Niger-Congo;Lexicon
scr;Serbian-Croatian;1;Words derived from Sinitic cha;44;19;Slavic;Indo-European;Lexicon
ses;Sesotho;2;Words derived from Min Nan Chinese te;-28;27;Bantu;Niger-Congo;Lexicon
ssh;Shinassha;1;Words derived from Sinitic cha;10.41666667;36.16666667;Ta-Ne-Omotic;Afro-Asiatic;Lexicon
sdh;Sindhi;1;Words derived from Sinitic cha;26;69;Indic;Indo-European;Lexicon
snh;Sinhala;2;Words derived from Min Nan Chinese te;7;80.5;Indic;Indo-European;Lexicon
svk;Slovak;1;Words derived from Sinitic cha;49;20;Slavic;Indo-European;Lexicon
slo;Slovene;1;Words derived from Sinitic cha;46;15;Slavic;Indo-European;Lexicon
