"ID";"Regions";"Periods";"NumberOfOrganisations_1";"TheatreHalls_2";"StadiumsAndMultiPurposeHalls_3";"InTheatreHalls_4";"InStadiumsAndMultiPurposeHalls_5";"TotalPerformances_6";"TheatrePerformances_7";"MusicalPerformances_8";"DancePerformances_9";"MusicTheatrePerformances_10";"CabaretPerformances_11";"OtherPerformances_12";"TotalAttendance_13";"TheatrePerformances_14";"MusicalPerformances_15";"DancePerformances_16";"MusicTheatrePerformances_17";"CabaretPerformances_18";"AttendanceOtherPerformances_19"
"202";"PV23   ";"2001JJ00";"      26";"      40";"      15";"   16240";"   28324";"    2628";"     603";"     783";"     142";"     252";"     544";"     304";"    1010";"     109";"     396";"      75";"     121";"     165";"     142"
"203";"PV23   ";"2002JJ00";"      25";"      41";"      15";"   16840";"   28324";"    2735";"     569";"     768";"     158";"     335";"     462";"     443";"    1049";"      94";"     392";"      78";"     153";"     146";"     185"
"204";"PV23   ";"2003JJ00";"      25";"      39";"       .";"   16629";"       .";"    2682";"     502";"     829";"     180";"     302";"     460";"     408";"     761";"      93";"     254";"      45";"     136";"     151";"      82"
"205";"PV23   ";"2004JJ00";"      24";"      38";"       .";"   16023";"       .";"    2398";"     447";"     782";"     121";"     216";"     489";"     343";"     676";"      76";"     240";"      39";"      93";"     164";"      64"
"206";"PV23   ";"2005JJ00";"      24";"      36";"       9";"   15642";"   12210";"    3016";"     657";"    1110";"     145";"     224";"     472";"     408";"     694";"     107";"     286";"      25";"      91";"     129";"      56"
"207";"PV23   ";"2006JJ00";"      24";"      38";"      11";"   22555";"   12760";"    3063";"     639";"    1153";"     155";"     289";"     494";"     333";"     770";"      93";"     294";"      36";"     142";"     145";"      61"
"208";"PV23   ";"2007JJ00";"      24";"      39";"      11";"   24510";"   12760";"    3551";"     907";"    1335";"     159";"     210";"     501";"     437";"     769";"     104";"     321";"      33";"      87";"     156";"      68"
"209";"PV23   ";"2008JJ00";"      24";"      39";"      11";"   23543";"   12819";"    2904";"     739";"     972";"     110";"     295";"     472";"     316";"     881";"      94";"     314";"      29";"     203";"     146";"      95"
"210";"PV23   ";"2009JJ00";"      24";"      40";"      13";"   24581";"   12119";"    3318";"     661";"    1442";"     114";"     335";"     465";"     300";"     907";"      83";"     454";"      26";"     129";"     154";"      62"
"211";"PV23   ";"2010JJ00";"      24";"      40";"       8";"   24581";"   12119";"    3242";"     699";"    1170";"     127";"     272";"     491";"     482";"     842";"     101";"     358";"      32";"     107";"     147";"      97"
"212";"PV23   ";"2011JJ00";"      23";"      40";"       8";"   23731";"   10410";"    3068";"     747";"    1141";"     118";"     273";"     468";"     320";"     844";"     101";"     349";"      51";"     119";"     135";"      88"
"213";"PV23   ";"2012JJ00";"      22";"      40";"       6";"   22201";"   10000";"    3111";"     709";"    1116";"     104";"     238";"     449";"     495";"     806";"     104";"     361";"      50";"      96";"     115";"      80"
"214";"PV23   ";"2013JJ00";"      23";"      40";"      10";"   22425";"   10550";"    2798";"     631";"    1099";"     101";"     233";"     496";"     238";"     725";"      98";"     314";"      33";"      76";"     137";"      67"
"215";"PV23   ";"2014JJ00";"      23";"      42";"      10";"   22705";"   14200";"    3371";"     436";"    1450";"     121";"     271";"     423";"     670";"     831";"      71";"     383";"      29";"      90";"     111";"     148"
"216";"PV23   ";"2015JJ00";"      23";"      43";"      10";"   23209";"   13050";"    3232";"     378";"    1264";"      98";"     327";"     497";"     668";"     847";"      58";"     391";"      25";"      96";"     130";"     147"
"217";"PV23   ";"2016JJ00";"      23";"      50";"      13";"   27321";"   13700";"    3026";"     345";"    1307";"      90";"     302";"     523";"     458";"     811";"      54";"     391";"      24";"      91";"     148";"     102"
"218";"PV23   ";"2017JJ00";"      24";"      42";"      10";"   16941";"   13700";"    3289";"     372";"    1402";"     107";"     322";"     500";"     586";"     824";"      55";"     411";"      24";"      91";"     129";"     114"
"219";"PV23   ";"2018JJ00";"      23";"      44";"      10";"   16706";"   22200";"    3084";"     427";"    1198";"     103";"     429";"     494";"     433";"     867";"      70";"     390";"      25";"     158";"     145";"      81"
"220";"PV23   ";"2019JJ00";"      23";"      44";"      11";"   17291";"   23450";"    3205";"     361";"    1280";"     110";"     499";"     589";"     365";"     891";"      62";"     413";"      29";"     146";"     177";"      64"
"221";"PV23   ";"2020JJ00";"      23";"      43";"      12";"   18942";"   24450";"    1627";"     295";"     568";"      53";"     281";"     345";"      85";"     334";"      35";"     126";"      13";"      60";"      79";"      21"
"222";"PV23   ";"2021JJ00";"      22";"      45";"       5";"   19911";"    4950";"    1269";"     205";"     434";"      53";"     162";"     286";"     129";"     178";"      17";"      78";"       4";"      22";"      38";"      18"
"223";"PV23   ";"2022JJ00";"      23";"      48";"       .";"   16413";"       .";"    3013";"     377";"    1174";"     106";"     428";"     531";"     397";"     690";"       .";"     341";"       .";"      85";"     136";"      66"
"224";"PV23   ";"2023JJ00";"      23";"      47";"       4";"   17930";"       .";"    2978";"     266";"    1314";"      86";"     437";"     460";"     415";"     882";"       .";"     460";"       .";"     122";"     153";"      75"
"225";"PV24   ";"1999JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"226";"PV24   ";"2000JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"227";"PV24   ";"2001JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"228";"PV24   ";"2002JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"229";"PV24   ";"2003JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"230";"PV24   ";"2004JJ00";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"231";"PV24   ";"2005JJ00";"       6";"       9";"       5";"    5042";"    2165";"    1108";"     174";"     379";"      61";"     205";"     180";"     109";"     339";"      29";"     124";"      14";"      95";"      50";"      27"
"232";"PV24   ";"2006JJ00";"       5";"       8";"       5";"    3673";"    2165";"     620";"     127";"     150";"      53";"      76";"     153";"      61";"     163";"      20";"      42";"      12";"      33";"      44";"      11"
"233";"PV24   ";"2007JJ00";"       5";"       9";"       5";"    4523";"    2678";"     588";"      96";"     197";"      25";"     134";"     102";"      34";"     175";"      20";"      54";"       8";"      38";"      50";"       6"
"234";"PV24   ";"2008JJ00";"       5";"       9";"       7";"    4364";"    3478";"     638";"      85";"     205";"      29";"     100";"     131";"      88";"     199";"      16";"      45";"       8";"      48";"      53";"      30"
"235";"PV24   ";"2009JJ00";"       5";"       9";"       7";"    4152";"    3916";"     663";"     126";"     204";"      31";"      96";"     141";"      65";"     173";"      17";"      45";"       7";"      43";"      49";"      12"
"236";"PV24   ";"2010JJ00";"       5";"      10";"       7";"    4203";"    4116";"     682";"     131";"     181";"      40";"     126";"     138";"      66";"     327";"      36";"      70";"      19";"     113";"      58";"      31"
"237";"PV24   ";"2011JJ00";"       5";"      10";"       5";"    4240";"     740";"     658";"     111";"     173";"      36";"     126";"     119";"      92";"     240";"      22";"      46";"       9";"      73";"      36";"      55"
"238";"PV24   ";"2012JJ00";"       5";"      10";"       4";"    4223";"    2938";"     565";"      78";"     157";"      21";"      47";"     146";"     115";"     149";"      18";"      37";"       6";"      17";"      45";"      27"
"239";"PV24   ";"2013JJ00";"       5";"      10";"       5";"    4223";"    3163";"     488";"      89";"     178";"      15";"      50";"     108";"      48";"     134";"      17";"      39";"       5";"      16";"      32";"      24"
"240";"PV24   ";"2014JJ00";"       6";"      12";"       5";"    4523";"    3163";"     551";"      93";"     197";"      19";"      53";"     103";"      87";"     155";"      12";"      42";"       8";"      16";"      30";"      47"
"241";"PV24   ";"2015JJ00";"       6";"      13";"       5";"    4652";"    3363";"     581";"      67";"     218";"      21";"      49";"     145";"      80";"     128";"      11";"      35";"       5";"      16";"      42";"      19"
"242";"PV24   ";"2016JJ00";"       6";"      13";"       5";"    4652";"    3363";"     519";"      65";"     230";"      18";"      47";"     119";"      40";"     124";"      14";"      43";"       4";"      15";"      37";"      12"
"243";"PV24   ";"2017JJ00";"       6";"      13";"       5";"    4652";"    3363";"     549";"      70";"     245";"      22";"      44";"     136";"      32";"     124";"      13";"      46";"       4";"      13";"      37";"      10"
"244";"PV24   ";"2018JJ00";"       6";"      13";"       5";"    4652";"    3363";"     586";"      60";"     258";"      18";"      40";"     142";"      68";"     127";"      11";"      49";"       5";"      11";"      36";"      15"
"245";"PV24   ";"2019JJ00";"       6";"      13";"       5";"    4652";"    3363";"     535";"      59";"     214";"      16";"      46";"     142";"      58";"     125";"       8";"      40";"       4";"      14";"      46";"      13"
"246";"PV24   ";"2020JJ00";"       6";"      13";"       5";"    4752";"    3363";"     295";"      41";"     125";"       5";"      35";"      84";"       4";"      56";"       8";"      22";"       0";"       8";"      17";"       ."
"247";"PV24   ";"2021JJ00";"       7";"      14";"       5";"    5572";"    3363";"     273";"      87";"      94";"       .";"      46";"      37";"       .";"      57";"       .";"       8";"       0";"       .";"       6";"       0"
"248";"PV24   ";"2022JJ00";"       7";"      13";"       .";"    5657";"       .";"     594";"      73";"     290";"      29";"      58";"     115";"      29";"     136";"       .";"      57";"       .";"      18";"      36";"       5"
"249";"PV24   ";"2023JJ00";"       8";"      14";"       4";"    5723";"     515";"     808";"     129";"     356";"      42";"     133";"     107";"      41";"     197";"       .";"      71";"       .";"      54";"      36";"       8"
"250";"PV25   ";"1999JJ00";"      30";"      37";"       3";"   15679";"    1400";"    2895";"    1017";"     639";"     202";"     305";"     573";"     159";"     807";"     171";"     230";"      68";"     139";"     164";"      36"
"251";"PV25   ";"2000JJ00";"      29";"      38";"       3";"   16054";"    1400";"    3407";"    1509";"     724";"     165";"     196";"     466";"     347";"     766";"     215";"     208";"      49";"      95";"     134";"      65"
"252";"PV25   ";"2001JJ00";"      28";"      41";"       3";"   18597";"    1400";"    3117";"    1325";"     638";"     158";"     225";"     541";"     229";"     801";"     230";"     218";"      55";"     107";"     146";"      46"
"253";"PV25   ";"2002JJ00";"      29";"      42";"       3";"   18803";"    1400";"    3824";"    1715";"     684";"     224";"     213";"     592";"     395";"     917";"     219";"     271";"      59";"     118";"     173";"      77"
"254";"PV25   ";"2003JJ00";"      28";"      43";"       .";"   19682";"       .";"    3187";"     889";"     949";"     221";"     259";"     556";"     314";"     919";"     162";"     308";"      59";"     138";"     175";"      78"
"255";"PV25   ";"2004JJ00";"      29";"      44";"       .";"   19969";"       .";"    3078";"     921";"     895";"     162";"     287";"     613";"     199";"     871";"     150";"     293";"      55";"     145";"     191";"      36"
"256";"PV25   ";"2005JJ00";"      34";"      51";"       9";"   22162";"   36700";"    5248";"    1580";"    1558";"     357";"     451";"     906";"     395";"    1242";"     178";"     517";"      62";"     208";"     222";"      55"
"257";"PV25   ";"2006JJ00";"      34";"      49";"       5";"   22866";"   35650";"    5597";"    1783";"    1609";"     394";"     520";"     924";"     368";"    1651";"     229";"     809";"      82";"     229";"     234";"      68"
"258";"PV25   ";"2007JJ00";"      35";"      52";"      19";"   22547";"   40541";"    4688";"    1616";"    1429";"     229";"     446";"     714";"     254";"    1616";"     228";"     821";"      59";"     215";"     227";"      67"
"259";"PV25   ";"2008JJ00";"      34";"      52";"       6";"   23256";"   40150";"    5790";"    1999";"    1460";"     367";"     528";"     936";"     500";"    1845";"     195";"    1020";"      70";"     229";"     242";"      89"
"260";"PV25   ";"2009JJ00";"      35";"      53";"       6";"   23311";"   40150";"    4635";"    1397";"    1596";"     233";"     400";"     737";"     271";"    1578";"     223";"     828";"      62";"     187";"     218";"      62"
"261";"PV25   ";"2010JJ00";"      36";"      55";"       6";"   24359";"   40150";"    5263";"    1777";"    1573";"     244";"     450";"     692";"     527";"    1611";"     226";"     822";"      67";"     186";"     189";"     121"
"262";"PV25   ";"2011JJ00";"      37";"      57";"       6";"   23162";"   35280";"    5124";"    1766";"    1479";"     261";"     452";"     784";"     381";"    1775";"     239";"     954";"      68";"     175";"     236";"     103"
"263";"PV25   ";"2012JJ00";"      37";"      56";"       4";"   24270";"   46000";"    4938";"    1895";"    1383";"     206";"     413";"     727";"     314";"    1258";"     206";"     586";"      64";"     131";"     204";"      67"
"264";"PV25   ";"2013JJ00";"      39";"      57";"       4";"   24722";"   36600";"    4502";"    1577";"    1393";"     181";"     309";"     822";"     221";"    1322";"     186";"     680";"      60";"     119";"     210";"      67"
"265";"PV25   ";"2014JJ00";"      40";"      57";"       3";"   26199";"   28000";"    4352";"    1457";"    1378";"     217";"     317";"     715";"     268";"    1142";"     195";"     523";"      64";"     103";"     190";"      67"
"266";"PV25   ";"2015JJ00";"      40";"      57";"       3";"   25432";"   30000";"    4540";"    1527";"    1480";"     184";"     332";"     765";"     251";"    1222";"     191";"     579";"      51";"     133";"     208";"      59"
"267";"PV25   ";"2016JJ00";"      40";"      60";"       6";"   24302";"       .";"    4770";"    1400";"    1732";"     185";"     371";"     781";"     300";"    1348";"     181";"     686";"      50";"     125";"     216";"      89"
"268";"PV25   ";"2017JJ00";"      40";"      57";"       5";"   23572";"       .";"    4646";"    1341";"    1528";"     201";"     397";"     847";"     332";"    1423";"     175";"     771";"      54";"     127";"     218";"      77"
"269";"PV25   ";"2018JJ00";"      39";"      61";"       5";"   26093";"       .";"    4553";"    1299";"    1540";"     156";"     449";"     795";"     314";"    1481";"     184";"     750";"      64";"     172";"     244";"      67"
"270";"PV25   ";"2019JJ00";"      39";"      66";"       5";"   26246";"       .";"    4774";"    1273";"    1698";"     196";"     473";"     842";"     293";"    1469";"     176";"     776";"      62";"     139";"     261";"      55"
"271";"PV25   ";"2020JJ00";"      39";"      62";"       4";"   25879";"       .";"    1912";"     316";"     680";"      79";"     242";"     469";"     125";"     444";"      47";"     207";"      20";"      50";"      98";"      22"
"272";"PV25   ";"2021JJ00";"      39";"      63";"       3";"   26568";"       .";"    1929";"     350";"     653";"     129";"     144";"     490";"     163";"     302";"      38";"     140";"      12";"      27";"      71";"      14"
"273";"PV25   ";"2022JJ00";"      43";"      69";"       7";"   28114";"       .";"    4090";"     579";"    1792";"     169";"     409";"     809";"     332";"    1346";"      96";"     819";"      43";"     115";"     212";"      61"
"274";"PV25   ";"2023JJ00";"      44";"      70";"      10";"   27724";"       .";"    5709";"     885";"    2160";"     240";"     668";"    1089";"     667";"    1832";"     126";"    1142";"      55";"     161";"     254";"      93"
"275";"PV26   ";"1999JJ00";"      23";"      26";"      17";"   11869";"   14300";"    3183";"     818";"    1387";"     195";"     363";"     252";"     168";"    1184";"     143";"     625";"      46";"     224";"     105";"      41"
"276";"PV26   ";"2000JJ00";"      23";"      26";"      17";"   11869";"   14300";"    3140";"     795";"    1095";"      94";"     514";"     214";"     428";"    1280";"     136";"     487";"      38";"     401";"      79";"     140"
"277";"PV26   ";"2001JJ00";"      25";"      29";"      17";"   12386";"   14300";"    3483";"     835";"    1534";"     124";"     538";"     250";"     201";"    1364";"     136";"     591";"      34";"     465";"      83";"      55"
"278";"PV26   ";"2002JJ00";"      26";"      30";"      17";"   12539";"   14300";"    4146";"    1277";"    1642";"     181";"     556";"     294";"     195";"    1552";"     212";"     627";"      49";"     498";"     121";"      45"
"279";"PV26   ";"2003JJ00";"      23";"      28";"       .";"   12528";"       .";"    4218";"    1077";"    1580";"     228";"     498";"     380";"     455";"    1396";"     157";"     598";"      45";"     400";"     126";"      70"
"280";"PV26   ";"2004JJ00";"      24";"      29";"       .";"   14014";"       .";"    4268";"    1214";"    1558";"     188";"     443";"     395";"     470";"    1490";"     135";"     594";"      45";"     492";"     139";"      84"
"281";"PV26   ";"2005JJ00";"      27";"      37";"       2";"   18169";"     200";"    4461";"    1160";"    1619";"     213";"     624";"     500";"     346";"    1708";"     193";"     563";"      43";"     620";"     167";"     124"
"282";"PV26   ";"2006JJ00";"      27";"      35";"       0";"   17658";"       0";"    4480";"    1172";"    1460";"     242";"     631";"     604";"     371";"    1544";"     201";"     419";"      59";"     522";"     224";"     119"
"283";"PV26   ";"2007JJ00";"      27";"      37";"       1";"   17937";"     200";"    4451";"    1216";"    1359";"     257";"     685";"     592";"     341";"    1482";"     182";"     341";"      48";"     620";"     192";"      98"
"284";"PV26   ";"2008JJ00";"      27";"      36";"       1";"   16557";"     200";"    4547";"    1196";"    1735";"     201";"     648";"     515";"     252";"    1601";"     188";"     541";"      43";"     546";"     180";"     101"
"285";"PV26   ";"2009JJ00";"      27";"      36";"      21";"   16524";"     400";"    4746";"    1218";"    1756";"     215";"     746";"     498";"     312";"    1552";"     194";"     493";"      40";"     593";"     160";"      73"
"286";"PV26   ";"2010JJ00";"      28";"      37";"       1";"   17100";"     200";"    4297";"    1180";"    1427";"     184";"     655";"     441";"     410";"    1503";"     194";"     483";"      48";"     500";"     156";"     121"
"287";"PV26   ";"2011JJ00";"      28";"      37";"       1";"   15358";"     200";"    4695";"    1539";"    1378";"     212";"     694";"     465";"     406";"    1647";"     261";"     419";"      42";"     680";"     126";"     120"
"288";"PV26   ";"2012JJ00";"      28";"      39";"       1";"   16829";"     120";"    4421";"    1413";"    1353";"     186";"     530";"     496";"     443";"    1381";"     201";"     479";"      38";"     412";"     147";"     104"
"289";"PV26   ";"2013JJ00";"      27";"      38";"       7";"   16928";"    1820";"    4619";"    1289";"    1624";"     220";"     609";"     533";"     344";"    1452";"     189";"     528";"      48";"     424";"     161";"     101"
"290";"PV26   ";"2014JJ00";"      28";"      42";"       8";"   19711";"    2820";"    4065";"    1151";"    1317";"     236";"     591";"     509";"     262";"    1397";"     160";"     526";"      58";"     416";"     155";"      82"
"291";"PV26   ";"2015JJ00";"      26";"      40";"      12";"   16311";"    7988";"    3885";"     885";"    1482";"     280";"     566";"     366";"     306";"    1578";"     133";"     709";"     189";"     385";"     101";"      60"
"292";"PV26   ";"2016JJ00";"      26";"      41";"      13";"   19277";"    8487";"    4713";"    1115";"    1953";"     251";"     566";"     530";"     299";"    1649";"     173";"     812";"      78";"       .";"     138";"      55"
"293";"PV26   ";"2017JJ00";"      25";"      38";"      12";"   18400";"    8462";"    4807";"    1124";"    2082";"     204";"     609";"     474";"     313";"    1551";"     149";"     694";"      42";"       .";"     132";"      67"
"294";"PV26   ";"2018JJ00";"      25";"      38";"      13";"   18609";"    8762";"    4833";"    1008";"    2104";"     277";"     704";"     522";"     219";"    1571";"     150";"     772";"      48";"     420";"     137";"      43"
"295";"PV26   ";"2019JJ00";"      25";"      38";"      13";"   18659";"    8762";"    4893";"    1029";"    2153";"     240";"     679";"     536";"     256";"    1626";"     146";"     756";"      49";"       .";"     166";"      50"
"296";"PV26   ";"2020JJ00";"      24";"      37";"       8";"   18125";"    2930";"    2077";"     526";"     681";"     140";"     251";"     354";"     124";"     435";"      63";"     205";"      17";"      52";"      78";"      19"
"297";"PV26   ";"2021JJ00";"      27";"      41";"       9";"   21361";"    7772";"    2208";"     469";"     769";"     107";"     336";"     252";"     275";"     490";"      43";"     206";"       .";"       .";"      43";"      42"
"298";"PV26   ";"2022JJ00";"      27";"      42";"       9";"   20038";"    4020";"    4355";"     728";"    2066";"     175";"     645";"     470";"     271";"    1583";"     117";"     852";"      40";"     350";"     156";"      68"
"299";"PV26   ";"2023JJ00";"      26";"      42";"       6";"   19727";"       .";"    4695";"       .";"    2103";"       .";"       .";"     470";"     324";"    1612";"       .";"     806";"       .";"       .";"       .";"      55"
"300";"PV27   ";"1999JJ00";"      82";"      89";"      18";"   35363";"   17650";"    9556";"    3683";"    2419";"     906";"     905";"    1192";"     451";"    3394";"     492";"    1425";"     333";"     523";"     406";"     214"
"301";"PV27   ";"2000JJ00";"      81";"      89";"      18";"   35363";"   17650";"   11285";"    4471";"    3189";"     912";"     810";"    1172";"     731";"    3811";"     600";"    1652";"     364";"     574";"     338";"     282"
"302";"PV27   ";"2001JJ00";"      77";"      92";"      18";"   35779";"   17650";"   12120";"    4162";"    3867";"     615";"     793";"    1350";"    1334";"    3856";"     658";"    1709";"     256";"     457";"     524";"     252"
"303";"PV27   ";"2002JJ00";"      75";"      93";"      18";"   36079";"   17650";"   11997";"    4330";"    4042";"     779";"     808";"    1299";"     738";"    4018";"     627";"    1831";"     286";"     550";"     536";"     188"
"304";"PV27   ";"2003JJ00";"      75";"     105";"       .";"   40560";"       .";"   14313";"    5177";"    3786";"    1024";"    1192";"    1637";"    1497";"    4301";"     702";"    1740";"     286";"     742";"     560";"     271"
"305";"PV27   ";"2004JJ00";"      73";"     103";"       .";"   41870";"       .";"   14765";"    4756";"    4511";"    1020";"     976";"    2049";"    1453";"    4377";"     589";"    2066";"     242";"     599";"     680";"     201"
"306";"PV27   ";"2005JJ00";"      81";"     122";"      39";"   56644";"  148057";"   16008";"    4834";"    4620";"    1177";"    1309";"    2364";"    1703";"    4584";"     661";"    1869";"     252";"     712";"     781";"     309"
"307";"PV27   ";"2006JJ00";"      83";"     124";"      40";"   57283";"  116607";"   15831";"    4476";"    5743";"     945";"    1412";"    2043";"    1212";"    5648";"     544";"    3117";"     370";"     856";"     549";"     212"
"308";"PV27   ";"2007JJ00";"      84";"     133";"      48";"   58704";"  117935";"   16791";"    4564";"    5901";"    1185";"    1205";"    2095";"    1841";"    5053";"     512";"    2691";"     275";"     698";"     573";"     305"
"309";"PV27   ";"2008JJ00";"      82";"     125";"      50";"   62136";"  102035";"   16764";"    4763";"    6550";"     702";"    1737";"    2062";"     950";"    5492";"     569";"    3003";"     233";"     769";"     600";"     317"
"310";"PV27   ";"2009JJ00";"      82";"     130";"      40";"   55931";"   63978";"   16960";"    4786";"    7063";"    1417";"     970";"    1631";"    1092";"    5735";"     810";"    3420";"     198";"     462";"     540";"     303"
"311";"PV27   ";"2010JJ00";"      83";"     131";"      39";"   60702";"   64095";"   15682";"    5111";"    5933";"     705";"    1196";"    1661";"    1075";"    5344";"     739";"    2938";"     226";"     606";"     506";"     330"
"312";"PV27   ";"2011JJ00";"      87";"     138";"      39";"   55854";"   63043";"   16825";"    6060";"    5968";"     640";"    1187";"    1926";"    1044";"    5309";"     756";"    2851";"     150";"     638";"     572";"     343"
"313";"PV27   ";"2012JJ00";"      87";"     140";"      39";"   65772";"   57940";"   16735";"    5509";"    6358";"     552";"    1044";"    1885";"    1387";"    5199";"     707";"    3018";"     123";"     486";"     544";"     320"
"314";"PV27   ";"2013JJ00";"      84";"     135";"      40";"   64655";"   58190";"   15367";"    4280";"    6571";"     540";"     848";"    1857";"    1271";"    6187";"     684";"    3927";"     210";"     398";"     582";"     385"
"315";"PV27   ";"2014JJ00";"      81";"     136";"      35";"   66271";"   58227";"   15972";"    4326";"    6219";"     550";"     860";"    2029";"    1989";"    6361";"     866";"    3827";"     243";"     374";"     526";"     525"
"316";"PV27   ";"2015JJ00";"      81";"     131";"      32";"   66857";"   59200";"   16129";"    4998";"    5830";"     654";"     868";"    1979";"    1800";"    6777";"     943";"    3922";"     270";"     461";"     593";"     588"
"317";"PV27   ";"2016JJ00";"      78";"     126";"      32";"   66379";"   89750";"   15275";"    4289";"    5869";"     668";"     832";"    1840";"    1777";"    6458";"     767";"    3853";"     279";"     450";"     623";"     485"
"318";"PV27   ";"2017JJ00";"      77";"     127";"      33";"   68347";"   98750";"   15201";"    3876";"    6098";"     714";"     881";"    2059";"    1572";"    6608";"     710";"    4384";"     222";"     370";"     565";"     357"
"319";"PV27   ";"2018JJ00";"      76";"     131";"      34";"   69573";"   92275";"   15503";"    3655";"    5812";"     619";"    1113";"    2377";"    1927";"    6760";"     550";"    4285";"     226";"     633";"     725";"     340"
"320";"PV27   ";"2019JJ00";"      75";"     148";"      35";"   66422";"   94200";"   15351";"    3448";"    5638";"     755";"    1142";"    2202";"    2166";"    6814";"     539";"    4106";"     270";"     780";"     750";"     370"
"321";"PV27   ";"2020JJ00";"      73";"     128";"      26";"   66031";"   87350";"    7811";"    2310";"    2224";"     434";"     883";"    1053";"     907";"    1669";"     258";"     827";"      79";"     154";"     239";"     111"
"322";"PV27   ";"2021JJ00";"      73";"     133";"      25";"   69214";"       .";"    7104";"    1375";"    1735";"     582";"     564";"     959";"    1889";"    1378";"     194";"     614";"      80";"     155";"     197";"     138"
"323";"PV27   ";"2022JJ00";"      76";"     132";"      40";"   68129";"  102350";"   13129";"    2837";"    5334";"     874";"    1014";"    1483";"    1587";"    6446";"     433";"    4384";"     333";"     517";"     491";"     288"
"324";"PV27   ";"2023JJ00";"      75";"     136";"      48";"   67095";"  107948";"   13628";"    2897";"    5740";"     724";"    1368";"    1790";"    1109";"    7198";"     543";"    4526";"     399";"     844";"     644";"     241"
"325";"PV28   ";"1999JJ00";"      63";"      90";"      59";"   30250";"   42750";"    8698";"    3059";"    1967";"     743";"     961";"    1330";"     639";"    3778";"     488";"    1469";"     370";"     824";"     491";"     135"
"326";"PV28   ";"2000JJ00";"      63";"      89";"      59";"   30250";"   42750";"    7897";"    2718";"    1679";"     632";"     889";"    1371";"     609";"    3594";"     420";"    1598";"     218";"     784";"     447";"     127"
"327";"PV28   ";"2001JJ00";"      62";"      91";"      59";"   31700";"   42750";"    8516";"    2905";"    1841";"     500";"    1112";"    1272";"     886";"    4307";"     498";"    1635";"     155";"     995";"     526";"     498"
"328";"PV28   ";"2002JJ00";"      62";"      95";"      59";"   35636";"   42750";"    8777";"    3012";"    1730";"     630";"     940";"    1511";"     954";"    4159";"     508";"    1564";"     205";"     972";"     470";"     440"
"329";"PV28   ";"2003JJ00";"      62";"      93";"       .";"   36107";"       .";"    9690";"    3178";"    2084";"     622";"    1293";"    1552";"     961";"    4602";"     523";"    1791";"     185";"    1366";"     506";"     231"
"330";"PV28   ";"2004JJ00";"      61";"      92";"       .";"   37879";"       .";"    9640";"    3063";"    2501";"     539";"    1080";"    1523";"     934";"    4378";"     520";"    1908";"     155";"    1016";"     511";"     267"
"331";"PV28   ";"2005JJ00";"      66";"     103";"      38";"   52801";"   52870";"   10358";"    2732";"    3338";"     668";"    1242";"    1703";"     675";"    4572";"     608";"    1929";"     157";"    1107";"     525";"     246"
"332";"PV28   ";"2006JJ00";"      66";"     100";"      38";"   51723";"   35370";"   10875";"    3319";"    2969";"     716";"    1426";"    1831";"     615";"    4641";"     541";"    1523";"     221";"    1443";"     636";"     277"
"333";"PV28   ";"2007JJ00";"      66";"     106";"      43";"   60417";"   28940";"   11875";"    3862";"    2806";"     786";"    1497";"    2202";"     722";"    5124";"     600";"    1995";"     172";"    1198";"     622";"     536"
"334";"PV28   ";"2008JJ00";"      65";"      98";"      11";"   62552";"   71000";"   11654";"    3644";"    2665";"     518";"    1863";"    1990";"     974";"    5081";"     581";"    1431";"     179";"    1803";"     695";"     392"
"335";"PV28   ";"2009JJ00";"      61";"      98";"       8";"   50570";"    8000";"   11170";"    3336";"    3247";"     569";"    1507";"    1608";"     903";"    4466";"     522";"    1366";"     160";"    1464";"     597";"     358"
"336";"PV28   ";"2010JJ00";"      63";"     103";"       9";"   50972";"    8250";"   10425";"    3511";"    2810";"     417";"    1239";"    1552";"     896";"    4275";"     598";"    1303";"     155";"    1179";"     597";"     443"
"337";"PV28   ";"2011JJ00";"      65";"     103";"      10";"   50539";"    1350";"   11507";"    3555";"    3030";"     656";"    1374";"    1885";"    1007";"    4331";"     539";"    1406";"     199";"    1004";"     618";"     565"
