"ID";"Regions";"Periods";"NumberOfOrganisations_1";"TheatreHalls_2";"StadiumsAndMultiPurposeHalls_3";"InTheatreHalls_4";"InStadiumsAndMultiPurposeHalls_5";"TotalPerformances_6";"TheatrePerformances_7";"MusicalPerformances_8";"DancePerformances_9";"MusicTheatrePerformances_10";"CabaretPerformances_11";"OtherPerformances_12";"TotalAttendance_13";"TheatrePerformances_14";"MusicalPerformances_15";"DancePerformances_16";"MusicTheatrePerformances_17";"CabaretPerformances_18";"AttendanceOtherPerformances_19"
"110";"LD04   ";"2009JJ00";"      67";"     101";"      32";"   51009";"   77040";"   10948";"    2782";"    4036";"     464";"    1188";"    1700";"     779";"    3558";"     397";"    1378";"     106";"     614";"     517";"     546"
"111";"LD04   ";"2010JJ00";"      65";"      95";"      27";"   49499";"   74965";"   10121";"    2690";"    3220";"     478";"    1119";"    1464";"    1150";"    3657";"     408";"    1333";"     138";"     605";"     469";"     704"
"112";"LD04   ";"2011JJ00";"      66";"      97";"      25";"   43862";"   52578";"   10609";"    2944";"    3409";"     522";"    1109";"    1717";"     908";"    3484";"     399";"    1330";"     114";"     519";"     473";"     649"
"113";"LD04   ";"2012JJ00";"      64";"      97";"      23";"   44515";"   49870";"    9572";"    3007";"    3017";"     458";"     931";"    1456";"     703";"    3077";"     406";"    1250";"     109";"     391";"     421";"     500"
"114";"LD04   ";"2013JJ00";"      60";"      91";"      23";"   44123";"   59395";"    8617";"    1945";"    3079";"     488";"     905";"    1486";"     713";"    2805";"     316";"    1082";"     119";"     364";"     459";"     464"
"115";"LD04   ";"2014JJ00";"      59";"      92";"      17";"   45438";"   49480";"    8361";"    1887";"    3015";"     476";"     711";"    1437";"     835";"    2811";"     346";"    1116";"     120";"     280";"     434";"     516"
"116";"LD04   ";"2015JJ00";"      59";"      93";"      16";"   46937";"   44480";"    8582";"    1800";"    3176";"     399";"     886";"    1407";"     915";"    2918";"     324";"    1149";"     104";"     385";"     457";"     499"
"117";"LD04   ";"2016JJ00";"      61";"     102";"      15";"   47630";"   47330";"    8429";"    1520";"    3669";"     371";"     846";"    1423";"     600";"    2656";"     269";"    1274";"      95";"     371";"     398";"     250"
"118";"LD04   ";"2017JJ00";"      58";"      98";"      17";"   45096";"   46805";"    8757";"    1534";"    3448";"     426";"    1011";"    1475";"     862";"    2768";"     274";"    1295";"     107";"     418";"     458";"     216"
"119";"LD04   ";"2018JJ00";"      62";"     108";"      13";"   45616";"   47651";"    9262";"    1515";"    3797";"     457";"    1051";"    1414";"    1029";"    2904";"     268";"    1397";"     103";"     443";"     458";"     235"
"120";"LD04   ";"2019JJ00";"      64";"     107";"      13";"   46833";"   47581";"    9130";"    1688";"    3495";"     423";"    1108";"    1571";"     845";"    2786";"     271";"    1226";"     107";"     465";"     515";"     203"
"121";"LD04   ";"2020JJ00";"      60";"     104";"      12";"   47061";"       .";"    4400";"     965";"    1517";"     254";"     518";"     830";"     316";"     822";"     111";"     309";"      43";"     142";"     179";"      37"
"122";"LD04   ";"2021JJ00";"      60";"     105";"      13";"   47343";"    4723";"    4073";"     696";"    1399";"     195";"     363";"     648";"     772";"     560";"      65";"     238";"      16";"      70";"     120";"      50"
"123";"LD04   ";"2022JJ00";"      60";"     101";"      10";"   45633";"       .";"    8576";"    1133";"    4237";"     431";"     906";"    1313";"     556";"    2318";"     175";"    1305";"      75";"     272";"     407";"      83"
"124";"LD04   ";"2023JJ00";"      57";"     101";"      16";"   44364";"       .";"    9794";"    1218";"    4508";"     342";"    1119";"    1327";"    1280";"    3141";"     205";"    1644";"      86";"     526";"     434";"     245"
"125";"PV20   ";"1999JJ00";"      13";"      13";"       4";"    5713";"    5975";"    1657";"     639";"     513";"     112";"      91";"     230";"      72";"     481";"      91";"     210";"      31";"      45";"      80";"      25"
"126";"PV20   ";"2000JJ00";"      13";"      13";"       4";"    5713";"    5975";"    1379";"     470";"     492";"      92";"     101";"     172";"      52";"     501";"      78";"     231";"      25";"      70";"      72";"      25"
"127";"PV20   ";"2001JJ00";"      13";"      13";"       4";"    5713";"    5975";"    1565";"     449";"     740";"     133";"      86";"      96";"      61";"     543";"      77";"     317";"      32";"      37";"      35";"      45"
"128";"PV20   ";"2002JJ00";"      10";"      16";"       8";"    7303";"    6975";"    1593";"     409";"     710";"     113";"     107";"     170";"      84";"     537";"      74";"     276";"      29";"      43";"      64";"      49"
"129";"PV20   ";"2003JJ00";"      10";"      17";"       .";"    8848";"       .";"    1907";"     648";"     728";"     154";"      82";"     174";"     121";"     710";"     107";"     403";"      69";"      35";"      68";"      27"
"130";"PV20   ";"2004JJ00";"      10";"      17";"       .";"    8943";"       .";"    1915";"     576";"     786";"     139";"     118";"     264";"      32";"     632";"     113";"     290";"      38";"      76";"     103";"      11"
"131";"PV20   ";"2005JJ00";"      13";"      20";"       6";"    9772";"   12950";"    2180";"     703";"     855";"      98";"     151";"     315";"      58";"     705";"     115";"     359";"      29";"      85";"      99";"      18"
"132";"PV20   ";"2006JJ00";"      13";"      19";"       8";"   10870";"    8650";"    1873";"     455";"     843";"     144";"     157";"     238";"      36";"     594";"      70";"     308";"      31";"      94";"      77";"      13"
"133";"PV20   ";"2007JJ00";"      13";"      18";"       7";"    9649";"   13650";"    2222";"     634";"     833";"     130";"     229";"     249";"     147";"     844";"      97";"     359";"      37";"     198";"     121";"      33"
"134";"PV20   ";"2008JJ00";"      13";"      19";"       4";"    9866";"    6700";"    2653";"     967";"     865";"     154";"     236";"     282";"     149";"     968";"     145";"     378";"      41";"     222";"     126";"      56"
"135";"PV20   ";"2009JJ00";"      12";"      18";"       3";"    9234";"    4650";"    2425";"    1023";"     804";"     103";"     182";"     199";"     114";"     697";"     146";"     312";"      25";"     116";"      72";"      26"
"136";"PV20   ";"2010JJ00";"      12";"      18";"       3";"    9244";"   10150";"    2272";"     957";"     752";"      73";"     148";"     227";"     116";"     666";"     122";"     325";"      28";"      95";"      73";"      25"
"137";"PV20   ";"2011JJ00";"      12";"      18";"       3";"    7804";"   10075";"    2250";"     739";"     756";"     120";"     148";"     210";"     278";"     659";"     110";"     317";"      26";"      86";"      78";"      43"
"138";"PV20   ";"2012JJ00";"      11";"      17";"       3";"    7859";"   10150";"    1755";"     641";"     663";"      75";"      92";"     189";"      94";"     565";"     110";"     278";"      30";"      52";"      73";"      23"
"139";"PV20   ";"2013JJ00";"       9";"      15";"       3";"    7809";"   10150";"    1635";"     551";"     592";"      59";"      98";"     245";"      91";"     539";"     135";"     233";"      18";"      41";"      91";"      22"
"140";"PV20   ";"2014JJ00";"      10";"      17";"       3";"    8504";"   10150";"    1668";"     546";"     609";"      79";"     100";"     247";"      87";"     548";"     130";"     247";"      35";"      36";"      85";"      16"
"141";"PV20   ";"2015JJ00";"      10";"      16";"       3";"    8317";"   10150";"    1746";"     521";"     820";"      44";"      90";"     185";"      86";"     571";"     161";"     278";"      19";"      32";"      66";"      14"
