movie,movieLabel,narrative_location,narrative_locationLabel,lng,lat,genreLabel
http://www.wikidata.org/entity/Q3007676,White Material,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q3059143,And Then There Was Light,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q3182939,Johnny Mad Dog,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q3202522,Journey Beneath the Desert,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,fantasy film
http://www.wikidata.org/entity/Q3203672,The Man from Niger,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q3205456,The Savage State,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q3207041,Captive of the Desert,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q3227213,Le Sixieme Doigt,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q3285136,Man to Man,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q3304277,Megaforce,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,action film
http://www.wikidata.org/entity/Q3337483,DP75: Tartina City,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q3602849,A Woman of Pleasure,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q3620494,Any Man's Death,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q3625426,Project Shadowchaser IV,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,action film
http://www.wikidata.org/entity/Q3684580,Commandos,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,action film
http://www.wikidata.org/entity/Q3686858,Vengeance,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q3686858,Vengeance,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,action film
http://www.wikidata.org/entity/Q3740171,Black Emanuelle,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q3790697,The War Devils,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q3817966,Siren of Atlantis,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,fantasy film
http://www.wikidata.org/entity/Q3944897,Sahara,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q4000101,Tuareg – The Desert Warrior,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,action film
http://www.wikidata.org/entity/Q4003637,Another World,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q4009020,Watusi,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,fantasy film
http://www.wikidata.org/entity/Q4739929,Amantide – Scirocco,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q5042500,Tarzan and the Jungle Boy,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,action film
http://www.wikidata.org/entity/Q5057031,Ceddo,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q5278160,Dingaka,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q6182136,Jericho,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q6373800,Keïta! l'Héritage du griot,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,fantasy film
http://www.wikidata.org/entity/Q6412330,King of the Congo,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,fantasy film
http://www.wikidata.org/entity/Q6880633,Misunderstood,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q7270418,Queen Kong,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,fantasy film
http://www.wikidata.org/entity/Q7408972,Samba Traoré,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q954182,In a Better World,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q962592,Sniper,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,drama film
http://www.wikidata.org/entity/Q962592,Sniper,http://www.wikidata.org/entity/Q15,Africa,7.1881,21.09375,action film
